Thương hiệu,Model,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành,Loại nhiên liệu,Dung tích động cơ,Đơn vị động cơ,Tuổi
Mitsubishi,Xpander,Used,26000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,498,Gas ,1.5,L,4
Honda,CRV,Used,11000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,870,Gas ,1.5,L,1
Mercedes Benz,ML Class,Used,90000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,293,Gas ,3.5,L,15
Mercedes Benz,C class,Used,5000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1499,Gas ,1.5,L,1
VinFast,Fadil,Used,50000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,333,Gas ,1.4,L,3
Mitsubishi,Xpander,Used,28000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,550,Gas ,1.5,L,2
Mercedes Benz,GLC,Used,30000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1690,Gas ,2.0,L,3
Kia,Morning,Used,17000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,170,Gas ,1.0,L,14
Mitsubishi,Outlander,Used,88000,Imported,SUV,Automatic,5,5,FWD - Front Wheel Drive,450,Gas ,2.0,L,7
Hyundai,Accent,Used,12407,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,320,Gas ,1.4,L,5
Toyota,Fortuner,Used,130000,Domestic,SUV,Manual,7,5,RFD - Rear Wheel Drive,445,Diesel ,2.5,L,12
Mercedes Benz,C class,Used,50000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,890,Gas ,2.0,L,7
Mercedes Benz,GLB,Used,30,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,2639,Gas ,2.0,L,1
Mercedes Benz,GLC,Used,70000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1180,Gas ,2.0,L,5
Ford,Everest,Used,46000,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,910,Diesel ,2.0,L,4
Toyota,Innova,Used,128000,Domestic,Crossover,Manual,8,5,RFD - Rear Wheel Drive,199,Gas ,2.0,L,17
Nissan,Navara,Used,110000,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,445,Diesel ,2.5,L,6
Hyundai,Accent,Used,10422,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,495,Gas ,1.4,L,1
Mercedes Benz,GLC,Used,9000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2109,Gas ,2.0,L,1
Chevrolet,Cruze,Used,98000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,275,Gas ,1.8,L,8
Mercedes Benz,S class,Used,80000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1350,Gas ,3.0,L,9
Mercedes Benz,C class,Used,48000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,899,Gas ,2.0,L,5
Mercedes Benz,S class,Used,60000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,290,Gas ,3.0,L,6
Mercedes Benz,S class,Used,50000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1699,Gas ,3.0,L,6
Mazda,2,Used,35000,Imported,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,520,Diesel ,2.2,L,2
Mercedes Benz,C class,Used,60000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,669,Gas ,2.0,L,7
Mercedes Benz,E class,Used,6,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,190,Gas ,2.0,L,6
Mercedes Benz,C class,Used,80000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,420,Gas ,1.8,L,9
Mercedes Benz,E class,Used,500,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,2739,Gas ,2.0,L,1
Mercedes Benz,GLC,Used,4000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2509,Gas ,2.0,L,0
Mercedes Benz,GLC,Used,60000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1130,Gas ,2.0,L,5
Mercedes Benz,GLC,Used,70000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,948,Gas ,2.0,L,7
Mercedes Benz,C class,Used,45000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,699,Gas ,2.0,L,7
Mercedes Benz,E class,Used,30000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1290,Gas ,2.0,L,5
Mercedes Benz,E class,Used,20,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,2150,Gas ,2.0,L,1
Mercedes Benz,C class,Used,32000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,190,Gas ,2.0,L,4
Mercedes Benz,C class,Used,70000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,750,Gas ,2.0,L,7
Mazda,3,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,579,Gas ,1.5,L,0
Toyota,Rush,Used,50000,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,475,Gas ,1.5,L,5
Honda,CRV,New,0,Imported,SUV,Automatic,5,5,FWD - Front Wheel Drive,1259,Hybrid ,2.0,L,0
Toyota,Vios,New,0,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,430,Gas ,1.5,L,0
Mercedes Benz,C class,Used,50,Imported,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1999,Gas ,2.0,L,2
Mitsubishi,Xpander,Used,20000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,495,Gas ,1.5,L,4
Toyota,Corolla altis,Used,130000,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,290,Gas ,1.8,L,14
Mazda,6,Used,68000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,599,Gas ,2.0,L,4
Mazda,3,Used,55000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,465,Gas ,1.5,L,5
Ford,Focus,Used,120000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,279,Gas ,1.8,L,11
Mercedes Benz,A class,Used,38000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,739,Gas ,2.0,L,7
Lexus,RX,Used,24000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2969,Gas ,2.0,L,2
Porsche,Cayenne,Used,9000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,5900,Gas ,3.0,L,0
